team_name,actions,xP_total,xP_difference,minutes_played,xP_per_game,xP_per_action,xP_per_90,xP_difference_per_90,success_count
Spain,383,225.52,77.48,390.0,56.38,0.59,52.04,17.88,133
Mexico,309,176.85,45.15,270.0,58.95,0.57,58.95,15.05,64
Denmark,277,157.78,32.22,270.0,52.59,0.57,52.59,10.74,53
Senegal,418,235.91,39.09,360.0,58.98,0.56,58.98,9.77,77
Ecuador,350,188.45,27.55,270.0,62.82,0.54,62.82,9.18,79
England,388,222.12,43.88,450.0,44.42,0.57,44.42,8.78,120
Uruguay,310,177.88,22.12,270.0,59.29,0.57,59.29,7.37,65
Germany,332,196.06,19.94,270.0,65.35,0.59,65.35,6.65,84
Wales,313,174.64,17.36,270.0,58.21,0.56,58.21,5.79,59
Argentina,724,430.74,44.26,690.0,61.53,0.59,56.18,5.77,192
Portugal,423,254.53,25.47,450.0,50.91,0.6,50.91,5.09,108
Netherlands,585,330.05,26.95,480.0,66.01,0.56,61.88,5.05,104
France,693,409.41,36.59,660.0,58.49,0.59,55.83,4.99,132
Serbia,291,165.23,13.77,270.0,55.08,0.57,55.08,4.59,61
Tunisia,309,169.26,12.74,270.0,56.42,0.55,56.42,4.25,70
Croatia,747,447.48,32.52,690.0,63.93,0.6,58.37,4.24,188
United States,436,260.52,14.48,360.0,65.13,0.6,65.13,3.62,102
Belgium,258,144.56,10.44,270.0,48.19,0.56,48.19,3.48,56
Brazil,478,279.82,18.18,480.0,55.96,0.59,52.47,3.41,121
Switzerland,372,210.52,11.48,360.0,52.63,0.57,52.63,2.87,105
Canada,315,186.54,8.46,270.0,62.18,0.59,62.18,2.82,71
Cameroon,338,200.61,7.39,270.0,66.87,0.59,66.87,2.46,92
Ghana,348,194.62,7.38,270.0,64.87,0.56,64.87,2.46,83
Qatar,326,182.36,6.64,270.0,60.79,0.56,60.79,2.21,54
Saudi Arabia,327,190.27,0.73,270.0,63.42,0.58,63.42,0.24,62
Morocco,822,478.3,1.7,660.0,68.33,0.58,65.22,0.23,182
Costa Rica,372,198.88,-4.88,270.0,66.29,0.53,66.29,-1.63,63
Japan,574,316.06,-19.06,390.0,79.01,0.55,72.94,-4.4,84
Poland,381,218.59,-21.59,360.0,54.65,0.57,54.65,-5.4,83
Australia,446,250.35,-32.35,360.0,62.59,0.56,62.59,-8.09,79
Iran,383,213.56,5.44,,71.19,0.56,,,67
South Korea,408,238.9,3.1,,59.72,0.59,,,96
